Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.2959940652818991,0.7880184331797235,0.28991596638655465,0.03850446428571429,0.8602460592079969,0.7249311517900534
2,0.21733472149921915,0.8036573628488932,0.35359116022099446,0.04419889502762431,0.9350551276242259,0.7589800171631728
3,0.21373337457469843,0.7660753880266076,0.4365482233502538,0.06209386281588448,0.911522633744856,0.7509631684388965
4,0.13422164445888854,0.8035019455252919,0.4371584699453552,0.08032128514056225,0.9799338478500551,0.8214417744916821
5,0.20815899581589958,0.758576874205845,0.425531914893617,0.04643962848297214,0.9242588575560376,0.79124110182606
6,0.2479050279329609,0.7959641255605381,0.4057971014492754,0.05170821791320406,0.9174910071942446,0.7453881278538813
7,0.24022571543732366,0.7750325097529259,0.30201342281879195,0.04653567735263702,0.9071631755883114,0.7368199957992019
8,0.23534715960324618,0.782608695652174,0.3384615384615385,0.04592901878914405,0.9097090019037258,0.7602272727272728
9,0.3065173116089613,0.7678571428571429,0.3140495867768595,0.0425531914893617,0.86741494212557,0.7588217244553545
10,0.25757575757575757,0.7727272727272727,0.3680555555555556,0.054414784394250515,0.8892857142857142,0.7578859988931932
11,0.30451127819548873,0.7990135635018496,0.2857142857142857,0.03648068669527897,0.8536404160475483,0.7190237797246558
12,0.28545288197621227,0.7979539641943734,0.29,0.031049250535331904,0.8644421272158499,0.721496953872933
13,0.16206652512384997,0.7292993630573248,0.36633663366336633,0.07198443579766536,0.969896725994287,0.8428489593278594
14,0.26871657754010697,0.7928994082840237,0.33653846153846156,0.05311077389984825,0.9014209591474245,0.7557706626954579
15,0.33773453787352326,0.7641509433962265,0.26881720430107525,0.03566333808844508,0.8265582655826558,0.7475490196078431
16,0.4342205323193916,0.8053596614950634,0.22727272727272727,0.03571428571428571,0.8307307932542161,0.7665706051873199
17,0.433852140077821,0.7945368171021377,0.21212121212121213,0.01891891891891892,0.7137123745819398,0.7015121630506246
18,0.1887275832621691,0.7568493150684932,0.4657534246575342,0.06390977443609022,0.9279026217228464,0.7754303599374022
19,0.5175202156334232,0.7337579617834394,0.23255813953488372,0.029498525073746312,0.6396303901437371,0.6192842942345924
20,0.37890625,0.7886178861788617,0.2033898305084746,0.02526315789473684,0.8132780082987552,0.7418622255866768
21,0.27871621621621623,0.7674418604651163,0.4666666666666667,0.07342657342657342,0.9102112676056338,0.8128930817610063
22,0.38492063492063494,0.7801608579088471,0.2857142857142857,0.04590163934426229,0.8481848184818482,0.7442084942084942
